stop_id,lat,lon,display_name
57,49.099805,6.138669,8<br>MAI<br>45
46,49.099927,6.138371,8<br>MAI<br>45
450,49.085890,6.146239,11ème<br>D'AVIATION
852,49.086159,6.145297,11ème<br>D'AVIATION
323,49.191534,6.034971,18<br>AOUT
322,49.191388,6.035001,18<br>AOUT
928,49.091774,6.161323,19<br>NOVEMBRE
929,49.092028,6.161481,19<br>NOVEMBRE
519,49.148061,6.171578,DEUX<br>FONTAINES
451,49.148956,6.171576,DEUX<br>FONTAINES
530,49.096271,6.245860,TRENTE<br>JOURS
536,49.096403,6.245779,TRENTE<br>JOURS
179,49.106303,6.191888,TROIS<br>EVECHES
101,49.090659,6.123135,TROIS<br>HAIES
115,49.090713,6.122693,TROIS<br>HAIES
161,49.139202,6.153451,QUATRE<br>BORNES
157,49.139403,6.153449,QUATRE<br>BORNES
362,49.094514,6.176234,QUATRE<br>VENTS
310,49.094382,6.175952,QUATRE<br>VENTS
806,49.189290,6.035000,ABBE<br>BAUZIN
802,49.189344,6.036790,ABBE<br>BAUZIN
591,49.071569,6.193588,AUBEPINE
588,49.073443,6.184514,ACACIAS
307,49.073284,6.184477,ACACIAS
706,49.076518,6.102841,ACTISUD<br>DUNIL
707,49.076467,6.102942,ACTISUD<br>DUNIL
6180,49.112572,6.199158,FELIX<br>ALCAN
6185,49.112733,6.197773,FELIX<br>ALCAN
81,49.094445,6.135356,ALGER
71,49.094330,6.134834,ALGER
55,49.097637,6.129110,ALSACE
48,49.097844,6.129581,ALSACE
388,49.121440,6.194683,ALSACE-LORRAINE
368,49.121304,6.195390,ALSACE-LORRAINE
720,49.167365,6.044078,AMANVILLERS<br>MAIRIE
735,49.167371,6.043769,AMANVILLERS<br>MAIRIE
602,49.064123,6.129319,AMAZON
680,49.103321,6.228833,AMPERE
679,49.103631,6.228814,AMPERE
249,49.080330,6.187050,APREMONT
578,49.080609,6.186506,APREMONT
6320,49.101866,6.224284,FRANCOIS<br>ARAGO
6325,49.101866,6.224284,FRANCOIS<br>ARAGO
2,49.100638,6.220992,FRANCOIS<br>ARAGO
35,49.100578,6.222063,FRANCOIS<br>ARAGO
576,49.101367,6.224181,FRANCOIS<br>ARAGO
577,49.101366,6.224181,FRANCOIS<br>ARAGO
767,49.050773,6.187018,ARBALETRIERS
296,49.101048,6.106695,ARDECHE
293,49.101426,6.106284,ARDECHE
141,49.105977,6.173652,ARENES
126,49.105932,6.173607,ARENES
571,49.095465,6.238675,ARIANE
568,49.094854,6.238771,ARIANE
244,49.075620,6.189540,ARMOISIERES
583,49.077294,6.189373,ARMOISIERES
309,49.072249,6.193072,AUBEPINE
499,49.122882,6.187083,ARSENAL
476,49.122881,6.187075,ARSENAL
454,49.092781,6.270088,ARS<br>LAQUENEXY
453,49.092863,6.270358,ARS<br>LAQUENEXY
826,49.075770,6.076469,ARS<br>SUR<br>MOSELLE
822,49.075910,6.076660,ARS<br>SUR<br>MOSELLE
6330,49.096509,6.226120,ARTS<br>ET<br>METIERS
6335,49.096509,6.226118,ARTS<br>ET<br>METIERS
390,49.120281,6.193512,ARTILLEURS
366,49.120190,6.193145,ARTILLEURS
725,49.142480,6.121819,ATELIERS<br>MUNICIPAUX
730,49.142460,6.121421,ATELIERS<br>MUNICIPAUX
429,49.094182,6.269990,AUBIGNY
702,49.058685,6.121884,AUGNY<br>MAIRIE
711,49.058673,6.121897,AUGNY<br>MAIRIE
608,49.127244,6.207680,AULNES
598,49.127299,6.207678,AULNES
5020,49.064094,6.167042,AVENUE<br>DE<br>MAGNY
5023,49.067314,6.168029,AZALEES
488,49.129598,6.230058,BARBE
487,49.129374,6.229538,BARBE
408,49.136653,6.143134,BAUCHEZ
401,49.136481,6.142772,BAUCHEZ
761,49.108830,6.087670,BAZIN
554,49.075849,6.187141,BEAUSOLEIL
584,49.075712,6.186836,BEAUSOLEIL
6200,49.110649,6.210641,BELLETANCHE
6205,49.110649,6.210640,BELLETANCHE
469,49.066876,6.142687,BELLE<br>FONTAINE
471,49.066950,6.142790,BELLE<br>FONTAINE
24,49.110186,6.209649,BELLETANCHE
10,49.109866,6.208869,BELLETANCHE
874,49.172243,6.152899,BELLEVUE
6070,49.133318,6.168920,GEORGES<br>BERNANOS
6075,49.133318,6.168920,GEORGES<br>BERNANOS
892,49.155741,6.157121,BERLANGE
893,49.156149,6.157198,BERLANGE
166,49.132944,6.167915,GEORGES<br>BERNANOS
192,49.132970,6.167800,GEORGES<br>BERNANOS
472,49.113890,6.212200,BERNARD
462,49.114590,6.211458,BERNARD
389,49.122856,6.193868,BERNE
367,49.122961,6.194159,BERNE
12,49.164420,6.033929,PAUL<br>BILAINE
496,49.125919,6.196648,BILLOTTE
479,49.125580,6.197468,BILLOTTE
6230,49.115617,6.225858,HAUTS<br>DE<br>BLEMONT
6235,49.115617,6.225857,HAUTS<br>DE<br>BLEMONT
5021,49.066498,6.164469,BLEUETS
612,49.125886,6.181395,BLIDA
594,49.125745,6.181341,BLIDA
537,49.087248,6.166820,BLORY
353,49.087360,6.167410,BLORY
455,49.142824,6.168608,BOILEAU
444,49.142960,6.169393,BOILEAU
140,49.103244,6.174837,BOILVIN
127,49.103434,6.174773,BOILVIN
111,49.107062,6.168939,BON<br>SECOURS
92,49.107180,6.168711,BON<br>SECOURS
6220,49.114383,6.220983,LES<br>BORDES
6225,49.114383,6.220983,LES<br>BORDES
21,49.114289,6.222095,LES<br>BORDES
13,49.114256,6.222136,LES<br>BORDES
65,49.103530,6.161950,BOTANIQUE
38,49.103745,6.162015,BOTANIQUE
253,49.092605,6.181247,BOUCHOTTE
238,49.092494,6.181268,BOUCHOTTE
994,49.114270,6.227250,BOURGOGNE
993,49.114206,6.226991,BOURGOGNE
17,49.137809,6.217147,BOUZONVILLE
18,49.137757,6.217148,BOUZONVILLE
5016,49.057216,6.167581,BRAZZA
784,49.160455,6.225830,BREUIL
783,49.160373,6.225746,BREUIL
6300,49.108553,6.220678,HENRI<br>BERGSON
6305,49.108553,6.220678,HENRI<br>BERGSON
882,49.159982,6.104300,BRIEY
881,49.159996,6.104423,BRIEY
330,49.129720,6.133051,BRION
321,49.129800,6.134161,BRION
215,49.115957,6.150888,BEAU<br>RIVAGE
206,49.115925,6.150958,BEAU<br>RIVAGE
410,49.135377,6.149340,BUCHOZ
399,49.135269,6.149745,BUCHOZ
331,49.127914,6.194890,JEAN<br>BURGER
423,49.133180,6.147326,LA<br>BUTTE
415,49.132846,6.147001,LA<br>BUTTE
406,49.134823,6.137339,CAILLOUX
403,49.134414,6.136247,CAILLOUX
5022,49.065974,6.159642,CAMELIAS
839,49.093697,6.086800,CARCAN
838,49.093788,6.086953,CARCAN
726,49.144461,6.127705,CARREFOUR
729,49.144416,6.127746,CARREFOUR
606,49.130021,6.209006,CARRIERES
5042,49.129943,6.209638,CARRIERES
6060,49.135897,6.165947,RENE<br>CASSIN
6065,49.135429,6.166355,RENE<br>CASSIN
26,49.125038,6.180377,CASERNE
214,49.116462,6.141333,CASINO
207,49.116590,6.141350,CASINO
332,49.128455,6.145880,CASTORS
319,49.128528,6.145790,CASTORS
5081,49.033846,6.158180,CEDRE<br>BLEU
5082,49.033781,6.158202,CEDRE<br>BLEU
609,49.127402,6.211912,CEDRES
597,49.127435,6.211657,CEDRES
626,49.155053,6.185996,CENTRALE
618,49.154657,6.186342,CENTRALE
6030,49.148334,6.166976,DOCTEUR<br>CHARCOT
6035,49.148333,6.166976,DOCTEUR<br>CHARCOT
660,49.117684,6.084856,CHAHURY
313,49.118360,6.084331,CHAHURY
209,49.128012,6.185589,CHAMBIERE
208,49.127445,6.184454,CHAMBIERE
5071,49.041489,6.160633,CHAMPAGNE
5073,49.041291,6.160845,CHAMPAGNE
809,49.172679,6.045553,CHAMP<br>BANAL
791,49.144089,6.010451,CHANTRENNE
723,49.141719,6.115710,CHAPELLE
732,49.141710,6.115170,CHAPELLE
855,49.152114,6.161439,CHAPITRE
741,49.152099,6.161795,CHAPITRE
529,49.107270,6.220800,CHAPPE
567,49.107078,6.222231,CHAPPE
573,49.106646,6.221859,CHAPPE
452,49.144521,6.171863,DE<br>CHARDIN
449,49.144072,6.172134,DE<br>CHARDIN
318,49.124869,6.078875,CHATEL-ST-GERMAIN
316,49.124708,6.079168,CHATEL-ST-GERMAIN
3003,49.103365,6.148971,CHATRIAN
3014,49.103241,6.148767,CHATRIAN
749,49.133547,6.276049,LES<br>CHAULMES
756,49.133763,6.275898,LES<br>CHAULMES
5068,49.032045,6.150858,LE<br>CHAVEAU
5076,49.032098,6.150974,LE<br>CHAVEAU
657,49.117186,6.087779,CHEMIN<br>DES<br>DAMES
661,49.116909,6.088335,CHEMIN<br>DES<br>DAMES
813,49.108874,6.120753,CHENEAU
812,49.108911,6.120849,CHENEAU
624,49.165758,6.189607,CHENEVIERES
620,49.165848,6.189651,CHENEVIERES
849,49.114183,6.097958,CHEMIN<br>NOIR
848,49.114174,6.098110,CHEMIN<br>NOIR
985,49.053926,6.241586,CHESNY
991,49.054562,6.242312,CHESNY<br>MAIRIE
975,49.054246,6.241639,CHESNY
776,49.054793,6.187605,CHEVRE<br>HAIE
777,49.054793,6.187367,CHEVRE<br>HAIE
962,49.092723,6.274342,CHEVROTTES
961,49.092687,6.274646,CHEVROTTES
747,49.159388,6.228902,CHIEULLES
746,49.159482,6.228822,CHIEULLES
124,49.148670,6.142922,LES<br>CHILOUX
125,49.148845,6.143083,LES<br>CHILOUX
649,49.122211,6.081531,CHATEL<br>MAIRIE
110,49.105162,6.166510,CHARLES<br>PETRE
93,49.105362,6.166723,CHARLES<br>PETRE
6190,49.109880,6.203370,CIMETIERE<br>DE<br>L'EST
6195,49.109380,6.204139,CIMETIERE<br>DE<br>L'EST
5048,49.137145,6.205757,CIMETIERE
5038,49.137238,6.205973,CIMETIERE
79,49.090910,6.129128,CITE<br>SNCF
73,49.090555,6.127341,CITE<br>SNCF
186,49.101696,6.199568,CLAUDEL
189,49.101675,6.198796,CLAUDEL
827,49.080950,6.084650,CLEMENCEAU
821,49.080190,6.083839,CLEMENCEAU
1021,49.117634,6.174177,RUE<br>DES<br>CLERCS
314,49.122054,6.080144,CLERY
659,49.121180,6.080617,CLERY
405,49.133306,6.133817,CLETTE
404,49.133149,6.133578,CLETTE
932,49.089306,6.149641,CLEMENT<br>ADER
925,49.089360,6.149513,CLEMENT<br>ADER
6240,49.114068,6.230111,CLOUTIERS
6245,49.114069,6.230111,CLOUTIERS
552,49.114657,6.228721,CLOUTIERS
549,49.114841,6.229425,CLOUTIERS
1022,49.114505,6.176820,COETLOSQUET
1023,49.114410,6.176863,COETLOSQUET
5069,49.033599,6.155319,COIN-LES-CUVRY
5075,49.033533,6.155111,COIN-LES-CUVRY
5067,49.009062,6.159809,COIN-SUR-SEILLE
